光纤位置,mean_angle,std_angle,skew_angle,kurt_angle,range_angle,q25_angle,q50_angle,q75_angle,max_angle,min_angle,angle_change_rate,neg_value_ratio,neg_value_mean,pos_value_mean,pos_neg_contrast,dominant_freq,spectral_centroid,spectral_bandwidth,wavelet_energy_low,wavelet_energy_high,wavelet_energy_ratio,angle_gradient,failure_angle_est,failure_span,failure_start_angle,failure_end_angle,failure_intensity,circular_correlation,small_window_std,sequence_autocorr,residual_std,attention_weight
5.54107,130.84401444444444,3.1736647050937883,0.2935992158829244,-0.8021757654606905,10.145200000000017,128.73423,130.99635,132.71005,136.75443,126.60923,0.17479900000000015,0.0,0.0,130.84401444444444,130.84401444444444,0.0,0.08678281230611475,0.14238019466210272,0.8189808443795032,0.04591160610456648,0.9469163984798781,0.8739950000000007,,0.0,,,0.0,0.0,0.07605588796021694,0.4295765079559114,2.490153114475368,1.0
5.82995,129.70915444444444,3.015755004259063,0.3249822131839344,-0.7349990231216457,9.802450000000007,127.63745,129.83102,131.68183,135.45201,125.64956,0.16965799999999973,0.0,0.0,129.70915444444444,129.70915444444444,0.0,0.10994965998836333,0.15165499009550457,0.46520686354715746,0.05615202930998556,0.8922967840991611,0.8482899999999987,,0.0,,,0.0,0.0,0.06345947259107883,0.46274951497306854,2.406838670492601,1.0
6.11884,128.3457988888889,3.090524345053025,0.3078364618817572,-0.7266380871851426,10.145210000000006,126.40358,128.2544,130.6536,134.21814,124.07293,0.17308550000000017,0.0,0.0,128.3457988888889,128.3457988888889,0.1111111111111111,0.1564850040115133,0.15589329531986543,0.269120719473818,0.06684396437651538,0.8010387172528016,0.8654275000000009,,0.0,,,0.0,0.0,0.06992319405441251,0.5189427186432398,2.486924978376626,1.0
6.40772,127.07384333333334,3.0830455667191567,0.19716374321543548,-0.7889663600522758,10.145209999999992,125.03261,127.29471,129.41973,132.77862,122.63341,0.16451699999999966,0.0,0.0,127.07384333333334,127.07384333333334,0.1111111111111111,0.22354517815648642,0.14046284792947966,0.2618694459619603,0.07465706553719839,0.7781539847115421,0.8225849999999983,,0.0,,,0.0,0.0,0.06166857416223214,0.5574801517947908,2.538745886598629,1.0
6.6966,126.32742444444446,3.074508834602191,0.28598595989815867,-0.6333575218057566,10.41940000000001,124.27857,126.54068,128.46005,132.23023,121.81083,0.1696580000000001,0.0,0.0,126.32742444444446,126.32742444444446,0.1111111111111111,0.18739535653613243,0.1530603628873339,0.36599443917184066,0.0955672572740747,0.7929480325398538,0.8482900000000004,,0.0,,,0.0,0.0,0.04943628490971835,0.55559487025079,2.524280924655589,1.0
6.98549,126.19032555555557,2.8426233457929193,0.43502670624113227,-0.4623912412127753,9.802450000000007,124.00437,126.2665,128.04875,131.88748,122.08503,0.1610892500000002,0.0,0.0,126.19032555555557,126.19032555555557,0.1111111111111111,0.1815022568291649,0.152801608201364,0.36548133088814,0.10317416842930681,0.7798507247699953,0.805446250000001,,0.0,,,0.0,0.0,0.03412053361414568,0.5476373431496849,2.3503773643848853,1.0
7.27437,126.06084666666668,2.709188940250895,0.44847753932653756,-0.5014167532396523,9.254059999999996,123.79873,126.2665,127.63747,131.47619,122.22213,0.15252075000000004,0.0,0.0,126.06084666666668,126.06084666666668,0.1111111111111111,0.18014594113320495,0.15500958636099654,0.3477235959332285,0.10949049219003461,0.7605268623381327,0.7626037500000002,,0.0,,,0.0,0.0,0.03029767647919252,0.5052441204133155,2.2913822982693275,1.0
7.56325,126.46451888888889,2.6866318540566887,0.3610031837387821,-0.6689534305300451,8.979859999999988,124.14147,126.60924,128.32295,131.68183,122.70197,0.1473794999999999,0.0,0.0,126.46451888888889,126.46451888888889,0.1111111111111111,0.19752672454366643,0.15184600954001143,0.29526194067916806,0.10808673989809406,0.7320265438414083,0.7368974999999995,,0.0,,,0.0,0.0,0.035350868964237274,0.4975406488618278,2.235810238024266,1.0
7.85214,127.18809,2.78391377732461,0.2107427320987478,-0.682439816036525,9.66534,124.82696,127.15763,128.93989,132.36731,122.70197,0.14737925000000018,0.0,0.0,127.18809,127.18809,0.1111111111111111,0.2001191563784173,0.1430743442544243,0.19274735575128865,0.05301361682013446,0.7842878942743587,0.7368962500000009,,0.0,,,0.0,0.0,0.031137567888826947,0.6170355618698548,2.3951937762388176,1.0
8.14102,127.63746333333334,2.7331713150559054,0.2447391842297197,-0.6236640569788237,9.596799999999988,125.44391,127.50037,129.69393,132.77861,123.18181,0.15080699999999964,0.0,0.0,127.63746333333334,127.63746333333334,0.1111111111111111,0.17429244864879165,0.14834826180510244,0.1806987862854913,0.056734835272936435,0.7610496989573143,0.7540349999999982,,0.0,,,0.0,0.0,0.0292393047965964,0.5987524739340109,2.3233530591491256,1.0
