光纤位置,0,5,10,15,20,25,30,35,40
19.40747,127.02051,125.85521,129.28262,131.33908,122.97615,126.12941,127.91164,130.31087,133.60119
19.69635,127.4318,126.33505,129.83101,131.81893,123.38743,126.47215,128.66567,130.92781,134.28668
19.98523,127.84309,126.47215,130.5165,132.29877,123.86727,126.60924,128.93987,131.27055,134.49233
20.27412,127.4318,125.64956,130.24231,131.95603,123.04469,126.26649,128.80277,131.27055,134.21813
20.563,127.5689,125.30682,130.17376,132.16167,122.90759,125.58101,128.46003,131.202,134.49233
20.85188,127.77455,125.03263,130.31085,132.09313,122.97614,125.58101,128.93987,131.27055,134.62943
21.14077,127.15761,124.27859,129.83101,131.61329,122.15356,125.16972,128.39148,130.85926,134.21813
21.42965,126.60922,123.93585,129.76247,131.0649,120.71404,124.14149,127.77454,130.17377,133.60119
21.71853,126.12938,124.21004,129.48827,130.85925,120.64549,123.93585,127.70599,130.31087,133.60119
22.00742,125.44389,124.00439,128.93989,130.03667,120.30275,123.52455,127.02051,129.07699,132.84715
22.2963,124.96405,124.41568,128.66569,129.69393,120.23421,123.25036,126.88341,128.80279,132.57296
22.58518,124.62131,124.55278,128.3915,129.35119,119.54873,123.18181,127.36325,128.3915,132.29877
22.87407,123.93583,124.00439,127.98021,129.077,118.2463,122.56487,126.88341,128.25441,131.81893
23.16295,123.11324,124.21004,127.22617,128.59716,116.94388,121.81083,126.06083,127.29472,131.33909
23.45183,122.01646,122.83907,126.19795,127.63748,117.08098,120.57695,124.41567,126.47213,130.51651
23.74072,121.74227,122.97617,126.1294,127.02054,116.66969,120.7826,124.48422,126.06084,130.44796
24.0296,121.60517,123.25036,126.06085,126.81489,117.21808,121.0568,124.21003,125.99229,130.51651
24.31848,122.15357,123.7302,126.40359,127.43183,117.97211,121.60519,124.96406,126.88342,131.61329
24.60737,122.29067,124.48424,126.60923,127.77457,118.04066,121.60519,124.82696,126.74632,131.40764
24.89625,122.42777,124.96408,126.81488,127.77457,118.10921,121.87939,125.23825,127.15761,131.33909
25.18513,123.3189,125.30683,127.70601,128.32296,118.79469,122.35923,125.37535,127.63745,131.81893
25.47402,124.27859,126.33506,128.5286,129.35119,119.75437,123.25036,126.33503,128.25439,132.64152
25.7629,125.58101,127.70603,129.48828,130.65361,121.53664,124.55278,127.77456,129.76245,133.87539
26.05178,126.67779,128.46006,130.37941,131.3391,122.63342,125.30681,129.00843,130.51649,134.69797
26.34067,126.95199,128.59715,130.72215,132.09313,122.22213,125.44391,129.35118,131.40763,135.24637
26.62955,127.63747,128.66571,131.47619,132.50442,122.29067,125.9923,130.03667,132.23021,135.93185
26.91843,128.04876,129.14555,131.75038,133.05281,123.11325,126.33504,130.10521,132.98425,136.82299
27.20732,128.18585,129.35119,131.95603,133.12135,123.73019,126.40359,130.10521,133.18989,136.96009
27.4962,128.2544,128.25441,132.16167,132.98425,124.48423,126.60924,130.10521,133.80683,136.96009
27.78508,128.93989,128.9399,132.84716,133.18989,124.27858,127.22618,130.7907,135.04071,137.50847
28.07397,129.48827,129.55683,133.12135,133.87538,125.03262,127.50037,130.85925,135.24636,138.05686
28.36285,129.83101,129.41973,133.4641,134.49231,124.75842,127.43182,130.92779,135.45201,137.98831
28.65173,130.03665,130.03667,133.80685,134.62941,125.44391,127.63747,131.13344,135.7262,137.98831
28.94062,130.37939,129.76247,134.35523,134.9036,125.8552,127.98021,131.95603,136.00039,138.33105
29.2295,130.92778,130.03667,134.90362,135.72619,126.81488,128.73425,132.84715,136.54879,139.29073
29.51838,131.13343,131.13344,135.10927,136.00039,127.70601,129.07699,133.80683,137.09717,139.49637
29.80727,131.61327,131.33909,135.45201,136.41168,128.11731,129.28263,133.46409,137.91975,139.70202
30.09615,131.75037,131.40764,135.7262,136.20603,128.46005,129.55682,133.80683,138.19395,140.18186
30.38503,131.61327,131.20199,135.7262,136.20603,128.52859,129.55682,133.18989,137.64555,139.90767
30.67392,132.16166,131.75039,136.34314,136.89152,129.48827,130.24231,133.73828,138.60523,140.45605
30.9628,131.54473,131.81893,136.1375,136.20603,129.35118,129.89956,133.05279,138.87943,140.18186
31.25168,132.23021,132.50442,136.82299,136.75443,129.55683,130.5165,134.08103,139.22217,140.31895
31.54057,133.32699,133.53265,137.57702,137.85121,130.37941,131.27053,135.10926,139.63346,141.00444
31.82945,134.56087,135.24636,138.74235,139.42783,131.40763,132.71005,136.34313,141.07298,142.7867
32.11833,135.17781,135.93185,139.22219,139.97622,132.64151,133.94393,136.82297,141.48427,143.81493
32.40722,135.58911,136.06895,139.49638,140.31896,131.95602,134.42377,137.43991,141.68991,144.02057
32.6961,136.06895,136.41169,139.83912,140.59315,131.88747,135.24635,138.26249,142.30685,144.63751
32.98498,135.93185,136.20605,139.77057,140.59315,131.61328,135.24635,138.1254,142.23831,144.36332
33.27387,135.58911,136.48025,139.22218,140.25041,131.61328,134.76651,137.23427,141.68992,143.88348
